Attribute,unique artifact,Specific Location,state,Identifier1,Identifier2,Identifier3,Identifier4,Old Identifier,Influence Locations,Image Link1,Image Link2,,,"{Identifier} famous throughout India, originated in {specific location}",,,,,,,,,,,Attribute,state,
Personalities,Saikhom Mirabai Chanu,Imphal East district,Manipur,"An Olympic silver medalist weightlifter, hailed as one of Indiaâ€™s top sportswomen from Manipur.",She has won gold medals at the World Championships and Commonwealth Games. She was awarded the Padma Shri and Major Dhyan Chand Khel Ratna by the Government of India in 2018.,,,"An Olympic silver medalist weightlifter, hailed as one of Indiaâ€™s top sportswomen from Manipur.",,https://en.wikipedia.org/wiki/Saikhom_Mirabai_Chanu,,,,,,,,,,,,,,,,,
Personalities,Aribam Syam Sharma,Imphal,Manipur,"A celebrated filmmaker and composer, known for contributions to Manipuri cinema and culture.",his  movie Lamja Parshuram. It became the first Manipuri film to run for 100 days in the box office. ,,,"A celebrated filmmaker and composer, known for contributions to Manipuri cinema and culture.",,https://en.wikipedia.org/wiki/Aribam_Syam_Sharma,,,,,,,,,,,,,,,,,
Personalities,Angom Anita Chanu,Mayang,Manipur,"An international judoka representing India, known for multiple medals in Asian competitions.",She won her bronze medal at Asian Judo Championship at Bangkok in 2013 by defeating Kazakhstan’s Olessya Kutsenko.,,,"An international judoka representing India, known for multiple medals in Asian competitions.",,https://en.wikipedia.org/wiki/Angom_Anita_Chanu,,,,,,,,,,,,,,,,,
Personalities,Dingko Singh,Sekta,Manipur,"A legendary Indian boxer who won gold at the 1998 Asian Games, inspiring many in Manipur and India.",He won the King's Cup in Bangkok in 1997 and the Asian Games gold in the 1998 Bangkok Games.,,,"A legendary Indian boxer who won gold at the 1998 Asian Games, inspiring many in Manipur and India.",,https://en.wikipedia.org/wiki/Dingko_Singh,,,,,,,,,,,,,,,,,
Personalities,Kunjarani Devi,Imphal,Manipur,An award-winning Indian weightlifter and multiple Commonwealth Games medalist from Manipur.,She started taking interest in sports while still in Imphal's Sindam Sinshang Resident High School in 1978.,,,An award-winning Indian weightlifter and multiple Commonwealth Games medalist from Manipur.,,https://en.wikipedia.org/wiki/Kunjarani_Devi,,,,,,,,,,,,,,,,,
Personalities,Laishram Sarita Devi,Thoubal district,Manipur,An accomplished Indian boxer with multiple international medals and a strong sports legacy.,"She is a national champion and a former world champion in the lightweight class In 2009, she was awarded Arjuna award by the government of India for her achievements",,,An accomplished Indian boxer with multiple international medals and a strong sports legacy.,,https://en.wikipedia.org/wiki/Laishram_Sarita_Devi,,,,,,,,,,,,,,,,,
Tourism,Umiam Lake,Shillong,Meghalaya,"A large man-made reservoir in the hills 15 km (9.3 mi) north of Shillong, known for scenic beauty and water sports activities.","also known as Bara Pani, is a reservoir in the hills 15 km (9.3 mi) north of Shillong in the state of Meghalaya,",,,"A large man-made reservoir in the hills 15 km (9.3 mi) north of Shillong, known for scenic beauty and water sports activities.",,https://en.wikipedia.org/wiki/Umiam_Lake,,,,,,,,,,,,,,,,,
Tourism,Nohkalikai Falls,East Khasi Hills,Meghalaya,"The tallest plunge waterfall in India, cascading over 340 meters surrounded by lush forest.",one of the wettest places on Earth. Nohkalikai Falls are fed by the rainwater collected on the summit of a comparatively small plateau,,,"The tallest plunge waterfall in India, cascading over 340 meters surrounded by lush forest.",,https://en.wikipedia.org/wiki/Nohkalikai_Falls,,,,,,,,,,,,,,,,,
Tourism,Balpakram National Park,South Garo Hills,Meghalaya,"A biodiversity hotspot and sacred site known for rare wildlife, caves, and unique landscape.","located at an elevation of about 910 m (3,000 ft) close to the international border with Bangladesh",,,"A biodiversity hotspot and sacred site known for rare wildlife, caves, and unique landscape.",,https://en.wikipedia.org/wiki/Balpakram_National_Park,,,,,,,,,,,,,,,,,
Tourism,Elephant Falls,Shillong,Meghalaya,A two-tier waterfall,The mountain stream descends through two successive falls set in dells of fern-covered rocks,,,A two-tier waterfall,,https://en.wikipedia.org/wiki/Elephant_Falls,,,,,,,,,,,,,,,,,
Tourism,Nokrek National Park,West Garo Hills district,Meghalaya,A National park located approximately 2 km away fromÂ TuraÂ Peak,"the core area of the Nokrek Biosphere Reserve, is a National park located approximately 2 km away from Tura Peak in West Garo Hills district",,,A National park located approximately 2 km away fromÂ TuraÂ Peak,,https://en.wikipedia.org/wiki/Nokrek_National_Park,,,,,,,,,,,,,,,,,
Tourism,Kynrem Falls,East Khasi Hills district,Meghalaya,A three-tiered waterfall,It is situated inside the Thangkharang Park. It is the 7th highest waterfalls in India. ,,,A three-tiered waterfall,,https://en.wikipedia.org/wiki/Kynrem_Falls,,,,,,,,,,,,,,,,,
Tourism,Nohsngithiang Falls,East Khasi Hills district,Meghalaya,A seven-segmented waterfall located 1 kilometre (0.62 mi) south of Mawsmai village,"The water falls from a height of 315 metres (1,033 ft) and has an average width of 70 metres (230 ft).[1] making it one of the tallest waterfalls in India.",,,A seven-segmented waterfall located 1 kilometre (0.62 mi) south of Mawsmai village,,https://en.wikipedia.org/wiki/Nohsngithiang_Falls,,,,,,,,,,,,,,,,,
Tourism,Langshiang Falls,West Khasi Hills district,Meghalaya,"The Langshiang Falls is located near the village of Sangriang, 24 kilometres (15 mi) from Nongstoin","Considering the height to be correct, it is the 47th highest waterfall in India.",,,"The Langshiang Falls is located near the village of Sangriang, 24 kilometres (15 mi) from Nongstoin",,https://en.wikipedia.org/wiki/Langshiang_Falls,,,,,,,,,,,,,,,,,
Tourism,Tuirihiau falls,Serchhip district,Mizoram,The Tuirihiau Falls is located 5 kilometres (3.1 mi) south of Thenzawl,They are on the Vanva river near Buangpui and are sometimes mentioned together with the nearby Vantawng Falls,,,The Tuirihiau Falls is located 5 kilometres (3.1 mi) south of Thenzawl,,https://en.wikipedia.org/wiki/Tuirihiau_falls,,,,,,,,,,,,,,,,,
Tourism,Dampa Tiger Reserve,Lushai Hills,Mizoram,A tiger reserve covering an area of about 500 km2 (190 sq mi),"It covers an area of about 500 km2 (190 sq mi) in the Lushai Hills at an elevation of 800–1,100 m (2,600–3,600 ft). It was declared a tiger reserve in 1994 and is part of Project Tiger.",,,A tiger reserve covering an area of about 500 km2 (190 sq mi),,https://en.wikipedia.org/wiki/Dampa_Tiger_Reserve,,,,,,,,,,,,,,,,,
Tourism,Mizoram State Museum,Aizawl,Mizoram,An ethnographic museum with multipurpose collections on display. ,"There are five galleries: Textile Gallery, Ethnology, History, Anthropology, Natural History, and an Archaeology Terrace",,,"An ethnographic museum with multipurpose collections on display. There are five galleries: Textile Gallery, Ethnology, History, Anthropology, Natural History, and an Archaeology Terrace",,https://en.wikipedia.org/wiki/Mizoram_State_Museum,,,,,,,,,,,,,,,,,
Tourism,Palak Dil,Siaha district,Mizoram,The largest and biggest lake located near Phura village,"The lake is a major component of the Palak Wildlife Sanctuary,[2] and it supports the major biodiversity of the sanctuary",,,The largest and biggest lake located near Phura village,,https://en.wikipedia.org/wiki/Palak_Dil,,,,,,,,,,,,,,,,,
Tourism,Lengteng Wildlife Sanctuary,Saitual district,Mizoram,An alpine forest and contains the second highest peak. ,"It is specially a conservation interest on rare species of birds.It was declared a protected area in 1999,and a national wildlife sanctuary by the Indian Ministry of Environment and Forests on 31 May 2001",,,"An alpine forest and contains the second highest peak. It is specially a conservation interest on rare species of birds.It was declared a protected area in 1999,and a national wildlife sanctuary by the Indian Ministry of Environment and Forests on 31 May 2001",,https://en.wikipedia.org/wiki/Lengteng_Wildlife_Sanctuary,,,,,,,,,,,,,,,,,
Tourism,Hmuifang,Aizawl district,Mizoram,"A tourist spot about 50 km with an elevation of 1,619 metres,the mountain",is covered with forest reserves since all the Mizo Chief's time,,,"A tourist spot about 50 km with an elevation of 1,619 metres,the mountain is covered with forest reserves since all the Mizo Chief's time",,https://en.wikipedia.org/wiki/Hmuifang,,,,,,,,,,,,,,,,,
Tourism,Murlen National Park,Champhai district,Mizoram,A national park lies in north of Lengteng Wildlife Sanctuary. and covers an area of approximately 100 km2,"are home to a rich variety of flora and fauna. About 15 species of mammals, 150 species of birds, 35 species of Medicinal plants, 2 species of bamboos, and 4 species of orchids so far have been recorded in this Park",,,A national park lies in north of Lengteng Wildlife Sanctuary. and covers an area of approximately 100 km2,,https://en.wikipedia.org/wiki/Murlen_National_Park,,,,,,,,,,,,,,,,,
Tourism,Phawngpui National Park,Lawngtlai district,Mizoram,"One of the two national parks,often called the Blue Mountain which is the highest mountain peak, reaching 2,157 m asl ",The national park covers the entire mountain along with the surrounding reserve forest.,,,"One of the two national parks,often called the Blue Mountain which is the highest mountain peak, reaching 2,157 m asl ",,https://en.wikipedia.org/wiki/Phawngpui_National_Park,,,,,,,,,,,,,,,,,
Religion,"Solomon's Temple, Aizawl",Aizawl,Mizoram,The temple was constructed by the religious group Kohhran Thianghlim,translated as 'The Holy Church' in English.It was founded by Dr. L.B. Sailo in 1984 and is non-denominational,,,The temple was constructed by the religious group Kohhran Thianghlim translated as 'The Holy Church' in English.It was founded by Dr. L.B. Sailo in 1984 and is non-denominational,,"https://en.wikipedia.org/wiki/Solomon%27s_Temple,_Aizawl",,,,,,,,,,,,,,,,,
Cultural_Common_Sense,Champhai,Champhai district,Mizoram,The third largest town and is one of the oldest settlements ,founded by the Mizo people that initially served as a capital for the Hmar dynasty,,,The third largest town and is one of the oldest settlements founded by the Mizo people that initially served as a capital for the Hmar dynasty,,https://en.wikipedia.org/wiki/Champhai,,,,,,,,,,,,,,,,,
Tourism,Vantawng Falls,Serchhip district,Mizoram,The Vantawng Falls is located 5 kilometres (3.1 mi) south of Thenzawl,It is the highest uninterrupted waterfall in Mizoram. It is about 92 kilometres (57 miles) away from Aizawl,,,The Vantawng Falls is located 5 kilometres (3.1 mi) south of Thenzawl,,https://en.wikipedia.org/wiki/Vantawng_Falls,,,,,,,,,,,,,,,,,
Festival,Hornbill Festival,Kohima district,Nagaland,An annual festival celebrated from 1 to 10 of December,The festival represents all ethnic groups of Nagaland for which it is also called the Festival of Festivals.,,,An annual festival celebrated from 1 to 10 of December,,https://en.wikipedia.org/wiki/Hornbill_Festival,,,,,,,,,,,,,,,,,
Festival,Aoleang,Mon district,Nagaland,A festival celebrated by the Konyak Naga people and is held in the first week of April,"differs from the more famous Hornbill Festival, which is arranged to preserve the cultures of all the different tribes in Nagaland",,,A festival celebrated by the Konyak Naga people and is held in the first week of April,,https://en.wikipedia.org/wiki/Aoleang,,,,,,,,,,,,,,,,,
History,Kohima War Cemetery,Kohima,Nagaland,A memorial dedicated to soldiers of the 2nd British Division of the Allied Forces who died in the Second World War,The soldiers died on the battleground of Garrison Hill in the tennis court area of the Deputy Commissioner's residence,,,A memorial dedicated to soldiers of the 2nd British Division of the Allied Forces who died in the Second World War,,https://en.wikipedia.org/wiki/Kohima_War_Cemetery,,,,,,,,,,,,,,,,,
Tourism,Fakim Wildlife Sanctuary,Kiphire district,Nagaland,"A protected area situated close to the India-Myanmar border in Pungro circle and covers an area of 642 ha (1,590 acres)",Fakim village is the gateway to the sanctuary. It was established in 1983,,,"A protected area situated close to the India-Myanmar border in Pungro circle and covers an area of 642 ha (1,590 acres)",,https://en.wikipedia.org/wiki/Fakim_Wildlife_Sanctuary,,,,,,,,,,,,,,,,,
Tourism,Ntangki National Park,Kiphire district,Nagaland,A National park was first designated as a national park in 1993 ,"the name ""Ntangki"" is derived from the Zeme dialect of the Zeliangrong Nagas",,,"A National park was first designated as a national park in 1993 and the name ""Ntangki"" is derived from the Zeme dialect of the Zeliangrong Nagas",,https://en.wikipedia.org/wiki/Ntangki_National_Park,,,,,,,,,,,,,,,,,
Cultural_Common_Sense,Khonoma,Kohima district,Nagaland,A Western Angami Naga village located about 20 km,"The village is referred to as Khwüno-ra (named after the Angami term for a local plant, Glouthera fragrantissima)",,,A Western Angami Naga village located about 20 km,,https://en.wikipedia.org/wiki/Khonoma,,,,,,,,,,,,,,,,,
